model,K,year,param1,param2,rate_percent
Logistic,95,2036,0.0541906289661438,2016.43140489421,70.5634887340927
Logistic,95,2037,0.0541906289661438,2016.43140489421,71.5340849835797
Logistic,95,2038,0.0541906289661438,2016.43140489421,72.47843431272
Logistic,95,2039,0.0541906289661438,2016.43140489421,73.3962571770904
Logistic,95,2040,0.0541906289661438,2016.43140489421,74.2873651577371
Logistic,95,2041,0.0541906289661438,2016.43140489421,75.1516567485413
Logistic,95,2042,0.0541906289661438,2016.43140489421,75.989112781073
Logistic,95,2043,0.0541906289661438,2016.43140489421,76.7997915630407
Logistic,95,2044,0.0541906289661438,2016.43140489421,77.5838238033705
Logistic,95,2045,0.0541906289661438,2016.43140489421,78.3414073929285
Logistic,95,2046,0.0541906289661438,2016.43140489421,79.0728021051361
Logistic,95,2047,0.0541906289661438,2016.43140489421,79.7783242754097
Logistic,95,2048,0.0541906289661438,2016.43140489421,80.4583415126578
Logistic,95,2049,0.0541906289661438,2016.43140489421,81.1132674901503
Logistic,95,2050,0.0541906289661438,2016.43140489421,81.7435568570979
Logistic,100,2024,0.0523099430553344,2018.41112615664,57.2572253033802
Logistic,100,2025,0.0523099430553344,2018.41112615664,58.532292423911
Logistic,100,2026,0.0523099430553344,2018.41112615664,59.7960308360096
Logistic,100,2027,0.0523099430553344,2018.41112615664,61.0468866549885
Logistic,100,2028,0.0523099430553344,2018.41112615664,62.2833723488937
Logistic,100,2029,0.0523099430553344,2018.41112615664,63.5040731741303
Logistic,100,2030,0.0523099430553344,2018.41112615664,64.7076528512985
Logistic,100,2031,0.0523099430553344,2018.41112615664,65.8928584437327
Logistic,100,2032,0.0523099430553344,2018.41112615664,67.0585244145305
Logistic,100,2033,0.0523099430553344,2018.41112615664,68.2035758509708
Logistic,100,2034,0.0523099430553344,2018.41112615664,69.3270308578647
Logistic,100,2035,0.0523099430553344,2018.41112615664,70.4280021332861
Logistic,100,2036,0.0523099430553344,2018.41112615664,71.5056977510725
Logistic,100,2037,0.0523099430553344,2018.41112615664,72.5594211842786
Logistic,100,2038,0.0523099430553344,2018.41112615664,73.5885706122792
Logistic,100,2039,0.0523099430553344,2018.41112615664,74.5926375613523
Logistic,100,2040,0.0523099430553344,2018.41112615664,75.5712049342928
Logistic,100,2041,0.0523099430553344,2018.41112615664,76.5239444888979
Logistic,100,2042,0.0523099430553344,2018.41112615664,77.4506138280709
Logistic,100,2043,0.0523099430553344,2018.41112615664,78.3510529658706
Logistic,100,2044,0.0523099430553344,2018.41112615664,79.2251805341885
Logistic,100,2045,0.0523099430553344,2018.41112615664,80.0729896939757
Logistic,100,2046,0.0523099430553344,2018.41112615664,80.8945438132043
Logistic,100,2047,0.0523099430553344,2018.41112615664,81.689971971164
Logistic,100,2048,0.0523099430553344,2018.41112615664,82.4594643454167
Logistic,100,2049,0.0523099430553344,2018.41112615664,83.2032675339
Logistic,100,2050,0.0523099430553344,2018.41112615664,83.9216798604218
